GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rest,se.liu.ida.tdp024.account.rest.controller,AccountController,49,0,0,0,7,0,6,0,6,0
rest,se.liu.ida.tdp024.account.rest,Application,8,0,0,0,3,0,2,0,2,0
rest,se.liu.ida.tdp024.account.rest.service,AccountService,116,565,0,2,14,66,0,8,0,7
